Country;nov;dec;jan;feb;mar;apr
BE;207.9;208.4;202.2;195.8;194.2;176.5
BG;185.9;197.1;188.8;173.8;169.3;163.9
CZ;141.7;140.2;148.4;147.9;146.4;144.7
DK;192.4;197;192.5;190.9;188.6;188.9
DE;158.8;158.2;154.9;152.8;150.4;150.9
EE;181.9;183.4;175.8;175.6;174;172.2
IE;156;223.4;167.1;165.7;158;148
EL;148.8;147.7;149.7;144.8;134.3;134.5
ES;159.2;156.6;153;156.5;153;149.5
FR;145.2;147;150.8;149.4;152.4;144.5
HR;148.1;144.2;145.4;146.4;147.2;144.5
IT;173.2;179.8;162;160;156.8;146.6
CY;144.6;144.9;145.4;145.8;149.3;145.6
LV;203.4;208.7;194.8;192.6;187.2;183.5
LT;170.4;166.3;165.9;166.6;161.7;156.4
LU;142.8;143.4;146.6;146.8;147.1;144.7
HU;245.6;248.4;256.5;253.1;250.8;249.3
MT;117.3;117.2;117.5;117.6;117.2;117.3
NL;164.7;165.1;169.8;169.2;163.9;156.7
AT;146.1;146.2;153.5;150.1;147.8;144.3
PL;163.2;165.2;169.8;168.3;167.5;164.7
PT;136.3;132.2;132;135.6;131.9;130.2
RO;226.6;228.9;233;232.7;231.6;220.2
SI;142.5;143.3;145.4;149.3;149.6;149.8
SK;166;161.9;178.8;199.3;195.9;190.5
FI;147.3;148.5;143.2;142;141.2;138.5
