;entry_1_error;entry_1_error_w;entry_1_rel_error;entry_1_rel_error_w;entry_2_error;entry_2_error_w;entry_2_rel_error;entry_2_rel_error_w;entry_3_error;entry_3_error_w;entry_3_rel_error;entry_3_rel_error_w;entry_4_error;entry_4_error_w;entry_4_rel_error;entry_4_rel_error_w;entry_5_error;entry_5_error_w;entry_5_rel_error;entry_5_rel_error_w;súlyozott top 5
nov;9.313389865;9.792939175;0.051240417;0.053784717;9.388208644;9.959039381;0.051640143;0.054926243;10.39387764;10.93992318;0.057283644;0.060077004;10.39432167;10.88708003;0.05936518;0.062135207;10.81892464;11.19432873;0.060720705;0.062481824;0.000093
dec;17.05120118;18.11023404;0.080566791;0.085739816;16.69282435;17.79180732;0.079289518;0.084942603;18.77701131;19.96015454;0.088149079;0.09386197;19.52885439;20.72520799;0.091617752;0.097434242;20.41843796;21.55174683;0.094652401;0.099646612;0.000038
jan;10.11326243;10.99185205;0.058194412;0.063697526;10.37939897;11.27558475;0.060161185;0.065968901;11.40124824;12.3125969;0.066051665;0.071778058;11.91027352;12.85095941;0.069771282;0.075691935;11.90301387;12.6141999;0.068292621;0.072402147;0.000047
feb;13.88395588;15.05173118;0.079038511;0.08549461;14.07650798;15.23935783;0.080677472;0.087274476;14.91486094;16.09488368;0.085486873;0.092051146;15.27277618;16.47777863;0.088398527;0.095180768;15.72735086;16.86817946;0.089925371;0.096058054;0.000041
mar;15.37252794;16.62850368;0.091642168;0.098791969;15.60251459;16.87098727;0.093484228;0.100925433;16.29347439;17.55859104;0.097745326;0.105035894;16.4798595;17.77425007;0.099565803;0.107099291;16.85557578;18.01998878;0.100424481;0.106810519;0.00005098
apr;12.33198191;13.73422125;0.074963034;0.083531016;12.51274905;13.89630367;0.076656979;0.085368706;12.43587999;13.586912;0.076957061;0.084534692;13.92990388;15.32112231;0.08685315;0.095773049;12.68139495;14.07277671;0.07789139;0.086335692;
;;;;;;;;;;;;;;;;;;;;;
átlag;13.0110532;14.05158023;0.072607556;0.078506609;13.1087006;14.17218004;0.073651587;0.07990106;14.03605875;15.07551022;0.078612275;0.084556461;14.58599819;15.67273307;0.082595282;0.088885749;14.73411634;15.7202034;0.081984495;0.087289141;0.000053996
szórás;3.006405197;3.21596592;0.01507889;0.016543112;2.886104931;3.090018019;0.015165817;0.016550229;3.19728421;3.406383935;0.014964648;0.016276989;3.275677529;3.509429771;0.015002021;0.016622516;3.615415594;3.832977291;0.01562009;0.017021279;2.23837E-05
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;RMSE;nyers;súlyozott ;;;MSRE;nyers;súlyozott;súlyoztott top 5;;;;;;;;;;;;
;átlag;13.89518542;14.93844139;;;átlag;0.077890239;0.083827804;0.000053996;;;;;;;;;;;;
;szórás;3.065754629;3.257703753;;;szórás;0.014696452;0.015956578;2.23837E-05;;;;;;;;;;;;
